dataset,design,holdout,model,method,iter,n_train,n_test,auc,acer,apcer,bpcer,acc,dev_eer,train_loss,train_acc
HQ-WMCA,within,,resnext101_64x4d,standard-s4,3,21532,6636,0.9979,0.0264,0.0443,0.0086,0.9595,0.0242,0.0002,0.9999
HQ-WMCA,within,,resnext101_64x4d,standard-s3,10,21532,6636,0.9977,0.0457,0.0024,0.0891,0.9885,0.0217,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,standard-s4,4,21532,6636,0.9998,0.0196,0.0392,0.0000,0.9649,0.0303,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,standard-s3,11,21532,6636,0.9979,0.0214,0.0357,0.0072,0.9673,0.0257,0.0040,0.9991
HQ-WMCA,within,,resnext101_64x4d,standard-s4,5,21532,6636,0.9997,0.0175,0.0350,0.0000,0.9687,0.0300,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,standard-s4,6,21532,6636,0.9997,0.0135,0.0256,0.0014,0.9769,0.0265,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,standard-s4,7,21532,6636,0.9989,0.0161,0.0308,0.0014,0.9723,0.0195,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,standard-s4,8,21532,6636,0.9992,0.0152,0.0303,0.0000,0.9729,0.0240,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,standard-s4,9,21532,6636,0.9966,0.0362,0.0566,0.0158,0.9477,0.0376,0.0026,0.9992
HQ-WMCA,within,,resnext101_64x4d,standard-s4,10,21532,6636,0.9815,0.0502,0.0443,0.0560,0.9545,0.0429,0.0000,1.0000
HQ-WMCA,within,,resnext101_64x4d,standard-s4,11,21532,6636,0.9995,0.0090,0.0180,0.0000,0.9839,0.0268,0.0000,1.0000
