dataset,design,holdout,model,method,iter,n_train,n_test,auc,acer,apcer,bpcer,acc,dev_eer,train_loss,train_acc
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-freq-s4,2,12000,24000,0.8957,0.4011,0.8022,0.0000,0.4535,0.0036,0.0000,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s4,2,36000,24000,0.9687,0.1741,0.3288,0.0193,0.8513,0.0226,0.0021,0.9996
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-freq-s4,3,16000,24000,0.9142,0.3657,0.7296,0.0018,0.5024,0.0016,0.0016,0.9995
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-reverse-s0,1,12000,24000,0.9030,0.2722,0.5283,0.0161,0.6350,0.0122,0.0001,1.0000
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-reverse-s0,2,12000,24000,0.9150,0.2879,0.5731,0.0027,0.6087,0.0044,0.0000,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s2,8,36000,24000,0.9945,0.1081,0.2124,0.0037,0.9090,0.0024,0.0026,0.9990
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-reverse-s0,3,16000,24000,0.9744,0.3658,0.7317,0.0000,0.5015,0.0026,0.0000,1.0000
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-reverse-s1,1,12000,24000,0.7634,0.3615,0.7020,0.0210,0.5151,0.0271,0.0000,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s3,7,36000,24000,0.9969,0.0849,0.1675,0.0023,0.9286,0.0014,0.0025,0.9992
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-reverse-s2,1,12000,24000,0.8990,0.2779,0.5350,0.0208,0.6289,0.0187,0.0001,1.0000
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-reverse-s1,2,12000,24000,0.9420,0.3451,0.6870,0.0033,0.5310,0.0046,0.0002,0.9999
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-reverse-s2,2,12000,24000,0.8282,0.3523,0.7046,0.0000,0.5200,0.0044,0.0001,1.0000
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-reverse-s1,3,16000,24000,0.9462,0.3602,0.7204,0.0000,0.5092,0.0006,0.0000,1.0000
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-reverse-s2,3,16000,24000,0.9610,0.3657,0.7314,0.0000,0.5018,0.0004,0.0000,1.0000
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-reverse-s3,1,12000,24000,0.8482,0.3536,0.6886,0.0186,0.5250,0.0135,0.0025,0.9993
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-reverse-s4,1,12000,24000,0.8741,0.3007,0.5802,0.0212,0.5980,0.0126,0.0001,1.0000
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-reverse-s3,2,12000,24000,0.9144,0.3117,0.6191,0.0043,0.5768,0.0015,0.0001,1.0000
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-reverse-s4,2,12000,24000,0.9175,0.3253,0.6463,0.0043,0.5583,0.0071,0.0001,1.0000
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-reverse-s3,3,16000,24000,0.9131,0.3662,0.7322,0.0003,0.5011,0.0013,0.0000,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s4,3,36000,24000,0.9892,0.0758,0.1499,0.0016,0.9364,0.0009,0.0008,0.9999
OULU-NPU,xtype,replay1+replay2,resnet50,IBT-reverse-s4,3,16000,24000,0.9002,0.3692,0.7380,0.0004,0.4971,0.0000,0.0000,1.0000
OULU-NPU,xtype,replay1+replay2,resnet50,standard-s0,1,16000,24000,0.9762,0.3109,0.6218,0.0000,0.5764,0.0000,0.0000,1.0000
OULU-NPU,xtype,replay1+replay2,resnet50,standard-s1,1,16000,24000,0.9447,0.3408,0.6817,0.0000,0.5356,0.0005,0.0003,0.9999
OULU-NPU,xtype,replay1+replay2,resnet50,standard-s0,2,16000,24000,0.9012,0.3511,0.6970,0.0051,0.5235,0.0006,0.0000,1.0000
OULU-NPU,xtype,replay1+replay2,resnet50,standard-s1,2,16000,24000,0.9475,0.3622,0.7245,0.0000,0.5065,0.0004,0.0000,1.0000
OULU-NPU,xtype,replay1+replay2,resnet50,standard-s0,3,16000,24000,0.9167,0.3732,0.7413,0.0051,0.4934,0.0003,0.0000,1.0000
OULU-NPU,xtype,replay1+replay2,resnet50,standard-s1,3,16000,24000,0.9483,0.3690,0.7379,0.0000,0.4973,0.0001,0.0000,1.0000
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s3,8,36000,24000,0.9692,0.0643,0.1217,0.0069,0.9451,0.0049,0.0009,0.9997
OULU-NPU,xtype,replay1+replay2,resnet50,standard-s2,1,16000,24000,0.9589,0.3860,0.7720,0.0000,0.4740,0.0039,0.0000,1.0000
OULU-NPU,xtype,replay1+replay2,resnet50,standard-s3,1,16000,24000,0.9507,0.3724,0.7410,0.0038,0.4940,0.0000,0.0001,1.0000
OULU-NPU,xtype,replay1+replay2,resnet50,standard-s4,1,16000,24000,0.9601,0.3094,0.6182,0.0007,0.5787,0.0000,0.0032,0.9992
OULU-NPU,xtype,replay1+replay2,resnet50,standard-s2,2,16000,24000,0.9525,0.3936,0.7873,0.0000,0.4637,0.0035,0.0000,1.0000
OULU-NPU,xtype,replay1+replay2,resnet50,standard-s3,2,16000,24000,0.9429,0.2601,0.5130,0.0072,0.6482,0.0087,0.0089,0.9968
OULU-NPU,xtype,replay1+replay2,resnet50,standard-s4,2,16000,24000,0.9718,0.3098,0.6195,0.0000,0.5780,0.0002,0.0000,1.0000
OULU-NPU,xtype,replay1+replay2,resnet50,standard-s2,3,16000,24000,0.8866,0.3654,0.7309,0.0000,0.5021,0.0020,0.0001,1.0000
OULU-NPU,xtype,replay1+replay2,resnet50,standard-s3,3,16000,24000,0.9571,0.3866,0.7732,0.0000,0.4733,0.0006,0.0000,1.0000
OULU-NPU,xtype,replay1+replay2,resnet50,standard-s4,3,16000,24000,0.9732,0.3202,0.6403,0.0000,0.5638,0.0000,0.0000,1.0000
CelebA-Spoof,within,,resnet50,IBT-freq-s0,1,12000,24000,0.8552,0.2222,0.3675,0.0770,0.7192,0.0899,0.0002,1.0000
CelebA-Spoof,within,,resnet50,IBT-freq-s1,1,12000,24000,0.8347,0.2392,0.3613,0.1170,0.7115,0.1011,0.0004,1.0000
CelebA-Spoof,within,,resnet50,IBT-freq-s0,2,12000,24000,0.9556,0.1203,0.1964,0.0443,0.8490,0.0332,0.0033,0.9991
CelebA-Spoof,within,,resnet50,IBT-freq-s2,1,12000,24000,0.8599,0.2068,0.3239,0.0898,0.7460,0.0837,0.0009,0.9998
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s4,4,36000,24000,0.9971,0.0986,0.1956,0.0016,0.9173,0.0006,0.0023,0.9992
CelebA-Spoof,within,,resnet50,IBT-freq-s1,2,12000,24000,0.9691,0.1043,0.1475,0.0612,0.8782,0.0487,0.0048,0.9984
CelebA-Spoof,within,,resnet50,IBT-freq-s0,3,12000,24000,0.9441,0.1213,0.1782,0.0644,0.8558,0.0476,0.0021,0.9992
CelebA-Spoof,within,,resnet50,IBT-freq-s2,2,12000,24000,0.9717,0.1001,0.1432,0.0571,0.8825,0.0489,0.0054,0.9982
CelebA-Spoof,within,,resnet50,IBT-freq-s1,3,12000,24000,0.9241,0.1657,0.2577,0.0736,0.7972,0.0460,0.0014,0.9998
CelebA-Spoof,within,,resnet50,IBT-freq-s0,4,12000,24000,0.9746,0.1023,0.1713,0.0334,0.8699,0.0254,0.0058,0.9981
CelebA-Spoof,within,,resnet50,IBT-freq-s2,3,12000,24000,0.9712,0.1109,0.1834,0.0384,0.8598,0.0234,0.0005,1.0000
CelebA-Spoof,within,,resnet50,IBT-freq-s1,4,12000,24000,0.9719,0.0951,0.1523,0.0378,0.8818,0.0302,0.0108,0.9964
CelebA-Spoof,within,,resnet50,IBT-freq-s0,5,12000,24000,0.9880,0.0572,0.0762,0.0381,0.9352,0.0429,0.0090,0.9966
CelebA-Spoof,within,,resnet50,IBT-freq-s2,4,12000,24000,0.9531,0.1090,0.1850,0.0330,0.8603,0.0235,0.0041,0.9992
CelebA-Spoof,within,,resnet50,IBT-freq-s1,5,12000,24000,0.9824,0.0817,0.1388,0.0246,0.8952,0.0345,0.0021,0.9992
CelebA-Spoof,within,,resnet50,IBT-freq-s0,6,12000,24000,0.9417,0.1556,0.2809,0.0303,0.7939,0.0249,0.0009,0.9998
CelebA-Spoof,within,,resnet50,IBT-freq-s2,5,12000,24000,0.9814,0.0925,0.1541,0.0309,0.8827,0.0253,0.0041,0.9983
CelebA-Spoof,within,,resnet50,IBT-freq-s1,6,12000,24000,0.9431,0.1633,0.3072,0.0193,0.7787,0.0173,0.0003,1.0000
CelebA-Spoof,within,,resnet50,IBT-freq-s0,7,12000,24000,0.9681,0.1114,0.1957,0.0271,0.8546,0.0172,0.0048,0.9984
CelebA-Spoof,within,,resnet50,IBT-freq-s2,6,12000,24000,0.9602,0.1455,0.2676,0.0233,0.8053,0.0196,0.0003,1.0000
CelebA-Spoof,within,,resnet50,IBT-freq-s1,7,12000,24000,0.9846,0.1061,0.2011,0.0112,0.8556,0.0077,0.0037,0.9982
CelebA-Spoof,within,,resnet50,IBT-freq-s0,8,12000,24000,0.9465,0.1561,0.2811,0.0310,0.7935,0.0305,0.0027,0.9988
CelebA-Spoof,within,,resnet50,IBT-freq-s2,7,12000,24000,0.9685,0.1440,0.2714,0.0166,0.8046,0.0121,0.0055,0.9986
CelebA-Spoof,within,,resnet50,IBT-freq-s1,8,12000,24000,0.9648,0.1212,0.2285,0.0140,0.8355,0.0121,0.0014,0.9995
CelebA-Spoof,within,,resnet50,IBT-freq-s0,9,12000,24000,0.9569,0.1499,0.2879,0.0119,0.7944,0.0099,0.0009,0.9998
CelebA-Spoof,within,,resnet50,IBT-freq-s2,8,12000,24000,0.9500,0.1405,0.2590,0.0221,0.8117,0.0169,0.0010,0.9996
CelebA-Spoof,within,,resnet50,IBT-freq-s1,9,12000,24000,0.9625,0.1327,0.2514,0.0140,0.8194,0.0102,0.0008,0.9998
CelebA-Spoof,within,,resnet50,IBT-freq-s0,10,12000,24000,0.9604,0.1432,0.2707,0.0156,0.8054,0.0104,0.0009,0.9998
CelebA-Spoof,within,,resnet50,IBT-freq-s2,9,12000,24000,0.9709,0.1295,0.2501,0.0089,0.8219,0.0075,0.0004,1.0000
CelebA-Spoof,within,,resnet50,IBT-freq-s1,10,12000,24000,0.9722,0.1151,0.2117,0.0184,0.8460,0.0136,0.0023,0.9992
CelebA-Spoof,within,,resnet50,IBT-freq-s2,10,12000,24000,0.9797,0.1074,0.1942,0.0205,0.8576,0.0169,0.0031,0.9990
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s4,5,36000,24000,0.9895,0.1540,0.3041,0.0039,0.8706,0.0040,0.0011,0.9995
CelebA-Spoof,within,,resnet50,IBT-freq-s0,11,48000,24000,0.9761,0.1553,0.3005,0.0101,0.7862,0.0071,0.0072,0.9976
CelebA-Spoof,within,,resnet50,IBT-freq-s1,11,48000,24000,0.9854,0.1609,0.3186,0.0031,0.7755,0.0039,0.0083,0.9975
CelebA-Spoof,within,,resnet50,IBT-freq-s2,11,48000,24000,0.9875,0.1467,0.2878,0.0057,0.7964,0.0045,0.0054,0.9982
CelebA-Spoof,within,,resnet50,IBT-reverse-s0,1,12000,24000,0.9366,0.1348,0.1985,0.0711,0.8395,0.0653,0.0059,0.9983
CelebA-Spoof,within,,resnet50,IBT-reverse-s1,1,12000,24000,0.9461,0.1304,0.2045,0.0564,0.8397,0.0412,0.0042,0.9992
CelebA-Spoof,within,,resnet50,IBT-reverse-s0,2,12000,24000,0.9444,0.1335,0.2360,0.0310,0.8252,0.0209,0.0012,0.9998
CelebA-Spoof,within,,resnet50,IBT-reverse-s2,1,12000,24000,0.9428,0.1243,0.1691,0.0796,0.8576,0.0657,0.0076,0.9982
CelebA-Spoof,within,,resnet50,IBT-reverse-s1,2,12000,24000,0.9510,0.1393,0.2553,0.0233,0.8139,0.0177,0.0002,1.0000
CelebA-Spoof,within,,resnet50,IBT-reverse-s0,3,12000,24000,0.9485,0.1315,0.2364,0.0267,0.8262,0.0188,0.0016,0.9994
CelebA-Spoof,within,,resnet50,IBT-reverse-s2,2,12000,24000,0.9559,0.1128,0.2057,0.0200,0.8497,0.0149,0.0003,1.0000
CelebA-Spoof,within,,resnet50,IBT-reverse-s1,3,12000,24000,0.9297,0.1663,0.2913,0.0412,0.7833,0.0347,0.0023,0.9992
CelebA-Spoof,within,,resnet50,IBT-reverse-s0,4,12000,24000,0.9695,0.1034,0.1738,0.0330,0.8682,0.0228,0.0033,0.9989
CelebA-Spoof,within,,resnet50,IBT-reverse-s2,3,12000,24000,0.9378,0.1538,0.2719,0.0358,0.7985,0.0260,0.0014,0.9997
CelebA-Spoof,within,,resnet50,IBT-reverse-s1,4,12000,24000,0.9545,0.1102,0.1544,0.0659,0.8720,0.0326,0.0061,0.9982
CelebA-Spoof,within,,resnet50,IBT-reverse-s0,5,12000,24000,0.9377,0.1586,0.2875,0.0296,0.7894,0.0248,0.0012,0.9995
CelebA-Spoof,within,,resnet50,IBT-reverse-s2,4,12000,24000,0.9556,0.1183,0.1996,0.0369,0.8489,0.0238,0.0029,0.9990
CelebA-Spoof,within,,resnet50,IBT-reverse-s1,5,12000,24000,0.9344,0.1786,0.3283,0.0289,0.7610,0.0253,0.0009,0.9998
CelebA-Spoof,within,,resnet50,IBT-reverse-s0,6,12000,24000,0.9864,0.0889,0.1615,0.0162,0.8818,0.0122,0.0022,0.9992
CelebA-Spoof,within,,resnet50,IBT-reverse-s2,5,12000,24000,0.9449,0.1548,0.2900,0.0197,0.7907,0.0182,0.0003,1.0000
CelebA-Spoof,within,,resnet50,IBT-reverse-s1,6,12000,24000,0.9848,0.1158,0.2176,0.0141,0.8431,0.0107,0.0009,0.9998
CelebA-Spoof,within,,resnet50,IBT-reverse-s0,7,12000,24000,0.9840,0.0989,0.1839,0.0140,0.8668,0.0088,0.0031,0.9990
CelebA-Spoof,within,,resnet50,IBT-reverse-s2,6,12000,24000,0.9847,0.1309,0.2513,0.0105,0.8205,0.0085,0.0008,0.9999
CelebA-Spoof,within,,resnet50,IBT-reverse-s1,7,12000,24000,0.9775,0.1095,0.2062,0.0128,0.8515,0.0105,0.0027,0.9990
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s4,6,36000,24000,0.9966,0.0713,0.1417,0.0009,0.9402,0.0006,0.0001,1.0000
CelebA-Spoof,within,,resnet50,IBT-reverse-s0,8,12000,24000,0.9761,0.1070,0.1983,0.0156,0.8562,0.0131,0.0002,1.0000
CelebA-Spoof,within,,resnet50,IBT-reverse-s2,7,12000,24000,0.9811,0.0938,0.1721,0.0155,0.8746,0.0112,0.0011,0.9998
CelebA-Spoof,within,,resnet50,IBT-reverse-s1,8,12000,24000,0.9676,0.1325,0.2493,0.0156,0.8204,0.0148,0.0002,1.0000
CelebA-Spoof,within,,resnet50,IBT-reverse-s0,9,12000,24000,0.9893,0.0607,0.0950,0.0264,0.9255,0.0193,0.0021,0.9993
CelebA-Spoof,within,,resnet50,IBT-reverse-s2,8,12000,24000,0.9818,0.0991,0.1879,0.0103,0.8651,0.0083,0.0006,0.9998
CelebA-Spoof,within,,resnet50,IBT-reverse-s1,9,12000,24000,0.9813,0.0946,0.1640,0.0253,0.8774,0.0313,0.0035,0.9988
CelebA-Spoof,within,,resnet50,IBT-reverse-s0,10,12000,24000,0.9764,0.1182,0.2269,0.0095,0.8380,0.0095,0.0002,0.9999
CelebA-Spoof,within,,resnet50,IBT-reverse-s2,9,12000,24000,0.9871,0.0736,0.1195,0.0278,0.9079,0.0237,0.0038,0.9988
CelebA-Spoof,within,,resnet50,IBT-reverse-s1,10,12000,24000,0.9733,0.1457,0.2808,0.0106,0.7998,0.0119,0.0002,1.0000
CelebA-Spoof,within,,resnet50,IBT-reverse-s2,10,12000,24000,0.9779,0.1287,0.2470,0.0103,0.8236,0.0111,0.0002,1.0000
CelebA-Spoof,within,,resnet50,IBT-reverse-s0,11,48000,24000,0.9867,0.1135,0.2233,0.0036,0.8423,0.0042,0.0072,0.9979
CelebA-Spoof,within,,resnet50,IBT-reverse-s1,11,48000,24000,0.9878,0.1367,0.2684,0.0050,0.8102,0.0041,0.0061,0.9982
CelebA-Spoof,within,,resnet50,IBT-reverse-s2,11,48000,24000,0.9909,0.1258,0.2489,0.0027,0.8246,0.0031,0.0044,0.9985
CelebA-Spoof,within,,resnet50,standard-s0,1,48000,24000,0.9854,0.1394,0.2747,0.0041,0.8060,0.0033,0.0123,0.9959
CelebA-Spoof,within,,resnet50,standard-s1,1,48000,24000,0.9808,0.1468,0.2885,0.0050,0.7960,0.0027,0.0152,0.9953
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s4,7,36000,24000,0.9769,0.0676,0.1342,0.0010,0.9433,0.0009,0.0010,0.9996
CelebA-Spoof,within,,resnet50,standard-s2,1,48000,24000,0.9869,0.1208,0.2359,0.0057,0.8328,0.0044,0.0138,0.9953
CelebA-Spoof,within,,resnet50,standard-s0,2,48000,24000,0.9851,0.1423,0.2779,0.0067,0.8030,0.0040,0.0115,0.9961
CelebA-Spoof,within,,resnet50,standard-s1,2,48000,24000,0.9432,0.1903,0.3710,0.0096,0.7368,0.0075,0.0080,0.9975
CelebA-Spoof,within,,resnet50,standard-s2,2,48000,24000,0.9899,0.1565,0.3101,0.0029,0.7815,0.0027,0.0067,0.9980
CelebA-Spoof,within,,resnet50,standard-s0,3,48000,24000,0.9627,0.1514,0.2978,0.0050,0.7895,0.0038,0.0059,0.9980
CelebA-Spoof,within,,resnet50,standard-s1,3,48000,24000,0.9883,0.1223,0.2387,0.0059,0.8308,0.0034,0.0086,0.9972
CelebA-Spoof,within,,resnet50,standard-s2,3,48000,24000,0.9913,0.1363,0.2691,0.0035,0.8101,0.0029,0.0057,0.9979
CelebA-Spoof,within,,resnet50,standard-s0,4,48000,24000,0.9887,0.1363,0.2685,0.0041,0.8104,0.0040,0.0073,0.9974
CelebA-Spoof,within,,resnet50,standard-s1,4,48000,24000,0.9873,0.1096,0.2093,0.0099,0.8502,0.0041,0.0066,0.9977
CelebA-Spoof,xtype,3DMask+Phone+A4,resnext101_64x4d,standard-s4,8,36000,24000,0.9899,0.1256,0.2503,0.0009,0.8948,0.0007,0.0019,0.9993
CelebA-Spoof,within,,resnet50,standard-s2,4,48000,24000,0.9896,0.1530,0.3022,0.0038,0.7868,0.0031,0.0032,0.9989
CASIA-SURF,within,,resnet50,IBT-freq-s0,1,12000,24000,0.7716,0.3023,0.2964,0.3083,0.7000,0.2880,0.0000,1.0000
CelebA-Spoof,within,,resnet50,standard-s0,5,48000,24000,0.9919,0.1363,0.2694,0.0032,0.8100,0.0029,0.0032,0.9989
CASIA-SURF,within,,resnet50,IBT-freq-s0,2,12000,24000,0.6782,0.3869,0.3646,0.4093,0.6220,0.3893,0.0001,1.0000
CelebA-Spoof,within,,resnet50,standard-s1,5,48000,24000,0.9948,0.1101,0.2176,0.0027,0.8465,0.0017,0.0033,0.9990
CASIA-SURF,within,,resnet50,IBT-freq-s0,3,12000,24000,0.7914,0.2933,0.2747,0.3120,0.7141,0.2649,0.0010,0.9998
CelebA-Spoof,within,,resnet50,standard-s2,5,48000,24000,0.9941,0.0963,0.1899,0.0027,0.8660,0.0029,0.0022,0.9992
CASIA-SURF,within,,resnet50,IBT-freq-s0,4,20000,24000,0.7909,0.2873,0.3030,0.2716,0.7064,0.2720,0.0001,1.0000
CelebA-Spoof,within,,resnet50,standard-s0,6,48000,24000,0.9895,0.1547,0.3078,0.0015,0.7835,0.0015,0.0005,0.9998
CASIA-SURF,within,,resnet50,IBT-freq-s1,1,12000,24000,0.7277,0.3395,0.3246,0.3543,0.6665,0.3180,0.0000,1.0000
CelebA-Spoof,within,,resnet50,standard-s1,6,48000,24000,0.9875,0.1439,0.2823,0.0054,0.8003,0.0073,0.0044,0.9984
CelebA-Spoof,within,,resnet50,standard-s2,6,48000,24000,0.9949,0.1130,0.2242,0.0018,0.8421,0.0017,0.0009,0.9997
CASIA-SURF,within,,resnet50,IBT-freq-s1,2,12000,24000,0.7599,0.3096,0.3078,0.3113,0.6911,0.2986,0.0000,1.0000
CASIA-SURF,within,,resnet50,IBT-freq-s1,3,12000,24000,0.9520,0.1267,0.1257,0.1278,0.8737,0.1144,0.0000,1.0000
CelebA-Spoof,within,,resnet50,standard-s0,7,48000,24000,0.9861,0.1364,0.2689,0.0039,0.8101,0.0026,0.0026,0.9991
CelebA-Spoof,within,,resnet50,standard-s1,7,48000,24000,0.9912,0.1400,0.2779,0.0021,0.8044,0.0021,0.0027,0.9991
CASIA-SURF,within,,resnet50,IBT-freq-s1,4,20000,24000,0.9147,0.1594,0.1610,0.1579,0.8400,0.1381,0.0000,1.0000
CelebA-Spoof,within,,resnet50,standard-s2,7,48000,24000,0.9956,0.1077,0.2134,0.0020,0.8497,0.0014,0.0006,0.9998
CASIA-SURF,within,,resnet50,IBT-freq-s2,1,12000,24000,0.7855,0.2880,0.2931,0.2830,0.7100,0.2781,0.0000,1.0000
CASIA-SURF,within,,resnet50,IBT-freq-s2,2,12000,24000,0.7322,0.3291,0.3496,0.3087,0.6627,0.3308,0.0000,1.0000
CelebA-Spoof,within,,resnet50,standard-s0,8,48000,24000,0.9845,0.1410,0.2795,0.0025,0.8032,0.0025,0.0005,0.9998
CASIA-SURF,within,,resnet50,IBT-freq-s2,3,12000,24000,0.8618,0.2172,0.2087,0.2256,0.7862,0.1754,0.0008,0.9998
CelebA-Spoof,within,,resnet50,standard-s1,8,48000,24000,0.9953,0.1007,0.1981,0.0034,0.8600,0.0021,0.0014,0.9995
CelebA-Spoof,within,,resnet50,standard-s2,8,48000,24000,0.9920,0.1025,0.1994,0.0056,0.8584,0.0041,0.0018,0.9994
CASIA-SURF,within,,resnet50,IBT-freq-s2,4,20000,24000,0.7985,0.2769,0.2823,0.2715,0.7210,0.2738,0.0000,1.0000
CASIA-SURF,within,,resnet50,IBT-freq-s3,1,12000,24000,0.6851,0.3630,0.3670,0.3590,0.6354,0.3351,0.0000,1.0000
CelebA-Spoof,within,,resnet50,standard-s0,9,48000,24000,0.9928,0.1137,0.2224,0.0050,0.8425,0.0046,0.0016,0.9995
CelebA-Spoof,within,,resnet50,standard-s1,9,48000,24000,0.9937,0.1266,0.2502,0.0029,0.8235,0.0024,0.0005,0.9998
CASIA-SURF,within,,resnet50,IBT-freq-s3,2,12000,24000,0.6317,0.4204,0.4553,0.3855,0.5656,0.4603,0.0000,1.0000
CelebA-Spoof,within,,resnet50,standard-s2,9,48000,24000,0.9953,0.1131,0.2236,0.0025,0.8423,0.0023,0.0019,0.9993
CASIA-SURF,within,,resnet50,IBT-freq-s3,3,12000,24000,0.7980,0.2850,0.3019,0.2680,0.7083,0.2703,0.0015,0.9997
CASIA-SURF,within,,resnet50,IBT-freq-s3,4,20000,24000,0.8351,0.2441,0.3036,0.1845,0.7322,0.2603,0.0000,1.0000
CelebA-Spoof,within,,resnet50,standard-s0,10,48000,24000,0.9742,0.1626,0.3140,0.0112,0.7763,0.0069,0.0027,0.9991
CelebA-Spoof,within,,resnet50,standard-s1,10,48000,24000,0.9850,0.1183,0.2305,0.0061,0.8364,0.0035,0.0018,0.9992
CelebA-Spoof,within,,resnet50,standard-s2,10,48000,24000,0.9921,0.1014,0.1993,0.0035,0.8591,0.0036,0.0055,0.9982
CASIA-SURF,within,,resnet50,IBT-freq-s4,1,12000,24000,0.8088,0.2663,0.2778,0.2547,0.7291,0.2696,0.0000,1.0000
CASIA-SURF,within,,resnet50,IBT-freq-s4,2,12000,24000,0.6329,0.4197,0.4179,0.4216,0.5810,0.3879,0.0010,0.9996
CASIA-SURF,within,,resnet50,IBT-freq-s4,3,12000,24000,0.8767,0.2063,0.2028,0.2099,0.7951,0.2100,0.0001,1.0000
CelebA-Spoof,within,,resnet50,standard-s0,11,48000,24000,0.9949,0.1306,0.2598,0.0014,0.8173,0.0024,0.0001,1.0000
CelebA-Spoof,within,,resnet50,standard-s1,11,48000,24000,0.9920,0.1224,0.2415,0.0032,0.8296,0.0022,0.0025,0.9991
CASIA-SURF,within,,resnet50,IBT-reverse-s0,1,12000,24000,0.9109,0.1577,0.1760,0.1393,0.8350,0.1427,0.0000,1.0000
CelebA-Spoof,within,,resnet50,standard-s2,11,48000,24000,0.9917,0.1453,0.2888,0.0018,0.7968,0.0031,0.0036,0.9987
CASIA-SURF,within,,resnet50,IBT-freq-s4,4,20000,24000,0.8912,0.1851,0.2059,0.1644,0.8066,0.2059,0.0000,1.0000
CASIA-SURF,within,,resnet50,IBT-reverse-s1,1,12000,24000,0.9525,0.1170,0.1245,0.1096,0.8800,0.0921,0.0018,0.9996
CASIA-SURF,within,,resnet50,IBT-reverse-s0,2,12000,24000,0.5687,0.4735,0.5030,0.4440,0.5147,0.4685,0.0004,0.9999
CASIA-SURF,within,,resnet50,IBT-reverse-s2,1,12000,24000,0.9487,0.1178,0.1159,0.1197,0.8830,0.0958,0.0000,1.0000
CASIA-SURF,within,,resnet50,IBT-reverse-s1,2,12000,24000,0.8551,0.2209,0.2326,0.2092,0.7745,0.2347,0.0007,0.9996
CASIA-SURF,within,,resnet50,IBT-reverse-s3,1,12000,24000,0.9219,0.1339,0.1426,0.1251,0.8627,0.1068,0.0000,1.0000
CASIA-SURF,within,,resnet50,IBT-reverse-s0,3,12000,24000,0.5994,0.4484,0.4835,0.4133,0.5376,0.4381,0.0000,1.0000
CASIA-SURF,within,,resnet50,IBT-reverse-s2,2,12000,24000,0.8768,0.1919,0.2034,0.1804,0.8035,0.1720,0.0000,1.0000
CASIA-SURF,within,,resnet50,IBT-reverse-s1,3,12000,24000,0.8765,0.2026,0.2224,0.1827,0.7895,0.2076,0.0000,1.0000
CASIA-SURF,within,,resnet50,IBT-reverse-s3,2,12000,24000,0.8099,0.2787,0.2718,0.2857,0.7240,0.2735,0.0000,1.0000
CASIA-SURF,within,,resnet50,IBT-reverse-s2,3,12000,24000,0.8790,0.1890,0.1962,0.1819,0.8081,0.1672,0.0000,1.0000
CASIA-SURF,within,,resnet50,IBT-reverse-s0,4,20000,24000,0.8031,0.2829,0.3131,0.2528,0.7050,0.2750,0.0004,1.0000
CASIA-SURF,within,,resnet50,IBT-reverse-s3,3,12000,24000,0.8108,0.2714,0.2761,0.2666,0.7268,0.2726,0.0000,1.0000
CASIA-SURF,within,,resnet50,IBT-reverse-s1,4,20000,24000,0.5643,0.4434,0.6363,0.2506,0.4796,0.4291,0.0025,0.9994
CASIA-SURF,within,,resnet50,IBT-reverse-s4,1,12000,24000,0.9327,0.1350,0.1355,0.1344,0.8648,0.1250,0.0000,1.0000
CASIA-SURF,within,,resnet50,IBT-reverse-s2,4,20000,24000,0.8857,0.1983,0.2181,0.1786,0.7937,0.1947,0.0008,0.9998
CASIA-SURF,within,,resnet50,IBT-reverse-s3,4,20000,24000,0.7265,0.3429,0.3634,0.3223,0.6489,0.3463,0.0006,0.9998
CASIA-SURF,within,,resnet50,IBT-reverse-s4,2,12000,24000,0.9505,0.1062,0.1084,0.1041,0.8929,0.0967,0.0000,1.0000
CASIA-SURF,within,,resnet50,standard-s0,1,20000,24000,0.8166,0.2766,0.2674,0.2857,0.7271,0.2512,0.0001,1.0000
